epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,635.537,0.42851,0.52442,0.81365,0.97564,1,0.995,0.92209,0.38394,0.96592,0.77444,0.000226497,0.000226497,0.000226497
104,640.336,0.42671,0.50271,0.8234,0.98209,1,0.995,0.92177,0.38252,0.89171,0.77404,0.000214707,0.000214707,0.000214707
105,645.529,0.43575,0.51647,0.78935,0.98209,1,0.995,0.92177,0.38252,0.89171,0.77404,0.000202918,0.000202918,0.000202918
106,650.642,0.43034,0.51643,0.79113,0.98209,1,0.995,0.92177,0.38252,0.89171,0.77404,0.000191129,0.000191129,0.000191129
107,655.406,0.48839,0.50378,0.81925,0.98209,1,0.995,0.92177,0.38252,0.89171,0.77404,0.00017934,0.00017934,0.00017934
108,660.409,0.45642,0.49988,0.79028,0.98813,1,0.995,0.92821,0.37579,0.82834,0.77256,0.00016755,0.00016755,0.00016755
109,666.043,0.46681,0.53482,0.80119,0.98813,1,0.995,0.92821,0.37579,0.82834,0.77256,0.000155761,0.000155761,0.000155761
110,672.22,0.40085,0.48732,0.75867,0.98813,1,0.995,0.92821,0.37579,0.82834,0.77256,0.000143972,0.000143972,0.000143972
111,677.254,0.47423,0.5637,0.81735,0.98813,1,0.995,0.92821,0.37579,0.82834,0.77256,0.000132183,0.000132183,0.000132183
112,683.037,0.52818,0.61264,0.79604,0.99085,1,0.995,0.92769,0.3666,0.76978,0.77115,0.000120393,0.000120393,0.000120393
113,687.804,0.3869,0.50567,0.78175,0.99085,1,0.995,0.92769,0.3666,0.76978,0.77115,0.000108604,0.000108604,0.000108604
114,692.964,0.40009,0.48013,0.81295,0.99085,1,0.995,0.92769,0.3666,0.76978,0.77115,9.68148e-05,9.68148e-05,9.68148e-05
115,697.749,0.42565,0.51792,0.81405,0.99085,1,0.995,0.92769,0.3666,0.76978,0.77115,8.50255e-05,8.50255e-05,8.50255e-05
116,702.646,0.4008,0.49949,0.79212,0.99162,1,0.995,0.93373,0.35938,0.71824,0.77021,7.32362e-05,7.32362e-05,7.32362e-05
117,707.465,0.4463,0.53933,0.78813,0.99162,1,0.995,0.93373,0.35938,0.71824,0.77021,6.1447e-05,6.1447e-05,6.1447e-05
118,712.449,0.41309,0.51977,0.81595,0.99162,1,0.995,0.93373,0.35938,0.71824,0.77021,4.96578e-05,4.96578e-05,4.96578e-05
119,717.47,0.42384,0.56159,0.81818,0.99162,1,0.995,0.93373,0.35938,0.71824,0.77021,3.78685e-05,3.78685e-05,3.78685e-05
120,722.28,0.42936,0.53668,0.78561,0.99306,1,0.995,0.93546,0.35718,0.66784,0.76978,2.60792e-05,2.60792e-05,2.60792e-05
